,sentence
7702,Omulimu gw'okukolera awaka gw'olina gwa ssomero lya pulayimale ki?
7703,Mirimu ki egy'omukulu w'essomero?
7704,Masomero ki ageetaaga okuvujjirirwa gavumenti?
7705,Masomero ki agasinga okukola obubi mu disitulikiti yo?
7706,Okunoonyereza kuno kwa kolebwa mu masomero agawerako.
7707,Abasomesa basasulwa empeera ntono.
7708,Essomero eryo liyina abasomesa batono.
7709,Bitendo ki omusomesa omulungi by'aba nabyo?
7710,Lwaki tukola okugezesa mu masomero?
7711,Byakulabirako ki eby'emirimu ebikolebwa adiminisituleeta.
7712,Ttaka lyenkana ki eryaweebwa ekibangirizi ky'amakolero.
7713,Ekibangirizi ky'amakolero bakiyita batya?
7714,Waliwo ekibba ttaka mu ggwanga lino.
7715,Eryo ttaka lya yunivaasite?
7716,Eryo ettaka lya faamu ly'ani?
7717,Eby'obulimi n'obulunzi gwe mugongo gwa Uganda.
7718,Yunivaasite mmeka eziri mu Uganda?
7719,Ettaka lirina okugabanyizibwamu kyenkanyi ate mu mateeka.
7720,Wajja kubaawo okwonoonebwa kw'ebintu.
7721,Disitulikiti ewadde ba musigansimbi abagwiira ne bannansi ettaka.
7722,Ettaka lijja kubeera mu kulondoolwa gavumenti eya wakati.
7723,Abakungu ba gavumenti balina obukuubagano ku puloojekiti za gavumenti ze beeyagaliza.
7724,Minisitule y'ebyobulamu ekolaganye n'ebitongole eby'enjawulo okusobola okulongoosa obujjanjabi.
7725,Abantu beetaaga obwangu mu kufuna obuweereza bw'ebyobulamu.
7726,Abantu bajja kusomesebwa ku ngeri gye balina okuwangaala mu bulamu obulungi.
7727,Puloogulaamu eyina amateeka n'ebigobererwa.
7728,Bali mu kuzimba malwaliro mapya mu kitundu.
7729,Pulogulaamu ejja kutunuulira ebirwadde ebiwerako.
7730,Abantu tebalina ngeri za kutuuka ku bujjanjabi.
7731,Abantu balina okutumbula obukugu n'obumanyirivu bwabwe ku mpeereza z'obulamu.
7732,Ekitongole kirongoosezza empeereza z'ebyobulamu mu Uganda.
7733,Ekitongole kyanguyirizza abalwadde ba kkookolo obujjanjabi.
7734,Abantu abamu baavu nnyo tebasobola kufuna buweereza bwa bujjanjabi.
7735,Abantu balina okutegeezebwa buli kaseera ku bulabe obuli mu ndwadde ezitasiigibwa okuva ku mulala.
7736,Abaweereza b'ebyobulamu bajja kuyigirizibwa  obukugu bw'okukebera endwadde ez'enjawulo.
7737,Gavumenti enyiikiridde okumalawo n'okuziyiza endwadde ezitasiigibwa.
7738,Gavumenti ejja kuzimba olutindo olupya mu Adjumani.
7739,Wajja kubaawo entambula ennongoseemu.
7740,Ba yinginiya beekalirizza obulabe bw'olutindo ku butonde bw'ensi.
7741,Okuzimba olutindo kujja kukosa obutonde mu bulungi ne mu bubi.
7742,Ba yinginiya baagala kuzimba lutindo nga tebakosezza butonde bwa nsi.
7743,Okuzimba olutindo kujja kulwawo.
7744,Gavumenti eruddewo okuzimba enguudo ezimu.
7745,Abakungu abamu balina okubuusabuusa ku kuzimba olutindo.
7746,Enteekateeka za gavumenti zigoberera amateeka n'okulambikibwa okumu.
7747,Ekitongole kiri mu kwetegereza nkyukakyuka mu kuzimba olutindo.
7748,Abantu babakakasizza nti olutindo lwa kuzimbibwa.
7749,Disitulikiti eyigirizza abantu okwongera kuzimba zi kaabuyonjo mu kitundu.
7750,Abantu beetaaga kaabuyonjo ennungi.
7751,Disitulikiti erina okuteekateekera obulungi abantu baayo.
7752,Disitulikiti ekakasizza obuyonjo twalirawamu mu bantu.
7753,Tewali kukwasiza wamu ku disitulikiti.
7754,Abantu bakyabulamu zi kaabuyonjo mu Adjumani.
7755,Gavumenti yetaaga okuzimbira abanoonyi b'obubudamu zi kaabuyonjo.
7756,Kaabuyonjo z'ebinnya zirina omusingi omunafu.
7757,Disitulikiti eyina okufaayo ku buyonjo obw'omugundu.
7758,Disitulikiti erina okulondoola n'okukwasaganya okuzimba kwa zi kaabuyonjo.
7759,Disitulikiti eyagala okukuuma obuyonjo  n'okwefaako mu bantu.
7760,"Abantu balina okuba abeesimbu, abamalirivu ate nga balemerako."
7761,Abantu bakkiririza mu buwangwa bwabwe.
7762,Abantu baluvu.
7763,Abantu tebeesiga bakulembeze baabwe.
7764,Abantu abasinga obungi baagemebwa eri endwadde zi nnamutta omukaaga.
7765,Obuzibu mu kutuuka mu bitundi ebimu bwalemesa enkola y'okugema.
7766,Wajja kubaawo okujjanjaba okw'omuddiringanwa mu kitundu.
7767,Abantu tebenyigidde mu nkola ya kusalawo.
7768,Buli muntu ajja kugemebwa okusinziira ku mateeka.
7769,Gavumenti erina okumalawo enkaayana wakati w'amadisitulikiti.
7770,Abasawo balungi mu kutuusa obuweereza.
7771,Abasawo bonna baaleetebwa mu nteekateeka y'okugema.
7772,Abantu mu disitulikiti bajja kuyiga ebintu ebipya ku ssomero.
7773,Puloogulaamu ejja kukendeeza obutamanya mu bantu.
7774,Puloogulaamu ejja kutwala emyaka gy'ebyensoma ebiri.
7775,Gavumenti etaddemu ensimbi okugaziya obuweereza bw'ensoma eri abantu.
7776,Puloojekiti egonderezza abantu mu kufuna obuweereza bw'okusoma.
7777,Abantu bafunye omukisa okusoma ne bwe bataba na bisale bya ssomero.
7778,Abantu bajja kufuna amagezi n'obukugu okuva mu nteekateeka ez'enjawulo.
7779,Abanoonyi b'obubuddamu bajja kusobola okugenda ku ssomero.
7780,Puloogulaamu yali nteekateeka ya gavumenti okuyamba bantu.
7781,Gavumenti nneetegefu okussa amateeka gaayo mu nkola.
7782,Puloogulaamu yatandikibwawo kuyamba bantu abatasobola kufuna buweereza bwa kusoma.
7783,Gavumenti etaddewo ensimbi okutumbula ekitongole ky'ebyensoma.
7784,Abantu bangiko abajja kuganyulwa mu nteekateeka eno.
7785,Puloojekiti erina obuwagizi bwa gavumenti.
7786,Abanoonyi b'obubuddamu boolesezza obwagazi mu kusoma.
7787,Ebizimbe ebisomerwamu bijja kuteekebwawo.
7788,Abakungu baasomesa abantu okwetaba mu kussa mu nkola.
7789,Disitulikiti erina okugoberera amateeka mu kukola n'okussa mu nkola ebiragiro.
7790,Disitulikiti ejja kufuna enkulaakulana erabirwako.
7791,Gavumenti ewadde disitulikiti ensimbi ez'okugituusa ku ezo engagga.
7792,Disitulikiti ntono ez'etabye mu nteekateeka eno.
7793,Gavumenti z'ebitundu ezimu zaalangirira obwagazi mu nteekateeka.
7794,Ebitundu ebirimu abanoonyi b'obubuddamu byetaaga obuyambi mu kukwata ku bizibu ebyamangu.
7795,Gavumenti egabanya ensimbi okusinziira ku mateeka n'engeri gye gabagibwa n'okussibwa mu nkola.
7796,Disitulikiti erina abakugu n'abalondoozi abasobola okukwasaganya puloojekiti za gavumenti z'ebitundu.
7797,"Abakulu balina okufaayo ku bwerufu, obukozi n'obwangu."
7798,Obwenkanya bulina okukkaatirizibwa mu banoonyi b'obubudamu.
7799,Disitulikiti ejja kugabanya ensimbi okusinziira ku byetaago by'ekitundu.
7800,Abakungu bakola nnyo okutumbula enkulaakulana ku ddaala lya disitulikiti.
7801,Disitulikiti ejja kwanganga okusoomoozebwa okusangibwa abantu.
7802,Disitulikiti eyina ebirambike  ebimanyikiddwa obulungi.
7803,Abakungu bagenderera kulongoosa empeereza ya bulijjo.
7804,Enkulaakulana ejja kutumbulwa mu disitulikiti.
7805,Abakungu batadde essira ku kulongoosa obuweereza mu by'enjigiriza n'ebyobulamu.
7806,Gavumenti egezezzaako okugabanya ensimbi kyenkanyi wakati wa gavumenti z'ebitundu.
7807,Omubaka wa pulezidenti ku disitulikiti ajja kulondoola n'okukwasaganya emirimu ku lwa pulezidenti.
7808,Abakungu balina okulwana ennyo okutuukiriza ebiruubirirwa n'ebigendererwa mu disitulikiti.
7809,Disitulikiti eyagala kutangira okubalukawo kw'endwadde mu kitundu.
7810,Abakungu balina okubeera n'obuvunaanyizibwa obulambikiddwa obulungi.
7811,Amagombolola gaasomesebwa okuteekawo zi kaabuyonjo.
7812,Abantu balina okukolerera okukyusa  ebyalo.
7813,Abantu basindiikiriziddwa okwetaba mu kutuukiriza ebigendererwa n'ebiruubirirwa bya disitulikiti.
7814,Abakungu ba disitulikiti baafuuka bamativu ate abagayaavu.
7815,Amagombolola gaylina okwongeramu amaanyi.
7816,Abakulembeze balina okutuukiriza obuvunaanyizibwa bwabwe eri abantu.
7817,Abakulembeze balina okukuuma obuyonjo mu kitundu.
7818,Abasajja abamu tebalina nsimbi kutuukiriza byetaago bya maka gaabwe.
7819,Okuba ne kaabuyonjo kirina kuba kya buwaze mu buli maka.
7820,Abakulembeze b'ebitundu balina okukubiriza abantu mu kitundu okukuuma obuyonjo.
7821,Okulambula kaabuyonjo kiyamba abakulembeze okulondoola obuyonjo bw'ekitundu kyonna.
7822,Kaabuyonjo ennyonjo ziyamba okuziiyiza endwadde.
7823,Bambi mwewale okukyama buli wamu.
7824,Enteekateeka zitegekeddwa okuyamba okulongoosa obuyonjo.
7825,Okuteekebwa ku nninga kye ki?
7826,Obulamu bw'obutonde bufa ku nkwatagana eriwo wakati w'abantu n'obutonde obubeetoolodde.
7827,Kiki ekireetera puloojekiti ezimu okulema mu bitundu ebimu ate ne zimalako mu bitundu ebirala?
7828,Ensonga ez'enjawulo zirobera enkulaakulana za puloojekiti.
7829,Abantu abatali bumu kizibu nnyo okubaako kye batuukako awamu.
7830,Omukozi omulungi apimibwa kusinziira ku nkola ye.
7831,"Okusobola okuwangula, omuntu alina kukola ennyo."
7832,Abakulembeze balina obuyinza ku be bakulembera.
7833,Abo abatalina zi kaabuyonjo balina okubonerezebwa.
7834,Abakulembeze b'ebyalo balina obuyinza okukunga abantu mu kitundu.
7835,Lwaki puloojekiti ezisinga obungi ziremererwa ku ddaala lya disitulikiti?
7836,Puloojekiti zeetaaga nsimbi okuteekebwa mu nkola.
7837,Ebitongole bi ttabamawanga bikola ky'amaanyi okuyamba ku banoonyi b'obubudamu abali mu Uganda.
7838,Puloojekiti zirina obuwangaazi.
7839,Waliwo engeri ez'enjawulo ez'okutumbula eby'enfuna.
7840,Waliwo kaweefube mu kutumbula abakyala n'abavubuka.
7841,Mweyongere okusimba emiti okusobola okukuuma obutonde.
7842,Gavumenti ekubiriza obuyiiya n'obutonzi.
7843,Uganda erina enkwatagana n'amawanga amalala.
7844,Abanoonyi b'obubuddamu be bantu abadduka mu nsi zaabwe olw'obutabanguko.
7845,Ensi n'ebitongole eby'enjawulo bivuddeyo okuyamba abanoonyi b'obubuddamu mu Uganda.
7846,Mwagalane era mulabirigane kubanga ffenna tuli kimu.
7847,Puloojekiti ez'enjawulo ziteekebwa mu nkola okuyamba abanoonyi b'obubuddamu.
7848,Ettaka lyetaagisa nnyo mu ku kulaakulanya amakolero.
7849,Amakolero gaviirako enkulaakulana y'ebyenfuna.
7850,Abakulembeze bakola okusalawo ku lw'abalala.
7851,Ffe tuli balimi era tetumanyi mulimu mulala.
7852,Banneekoleragyange kati ensimbibazisiga mu bulimi.
7853,Mukulaakulanye ebintu mu bitundu by'eggwanga eby'enjawulo.
7854,Ekibangirizi ky'amakolero ky'ekitundu ky'ettaka ekikulaakulanyiziddwa ng'embuga y'amakolero.
7855,Amakolero ageesigamiziddwa ku bulimi n'obulunzi gajja kuyambako okwongera omutindo ku birime.
7856,Ebibangirizi by'amakolero bigasa nnyo ebyalo ne disitulikiti ezibiri okumpi.
7857,Gavumenti ewagira ebibangirizi by'amakolero kuba bajja kutumbula eby'enfuna.
7858,Kya ssanyu okuweebwa.
7859,Abakulembeze balina okuyimirira butengerera ku bye babeera basazeewo.
7860,Abantu mu bitundu balina okuyiga okwaniriza  puloojekiti ezireeteddwa.
7861,Abakulembeze b'eddiini balwanirira nnyo obwegassi wakati w'endiga ze basumba.
7862,Ba ssaabalabirizi bakulembera abantu mu kereziya.
7863,Mwagale katonda era mukuume emitima gyammwe nga miyonjo.
7864,Ba ssaabalabirizi bayigiriza abantu ku bintu ebikwata ku Katonda.
7865,Omukiristu alina okubeera n'okukkiriza mu Katonda.
7866,Okulima kulungi nnyo ku ttaka eggimu.
7867,Abalamazi be b'ani?
7868,Okulamaga lwe lugendo lw'omulamazi.
7869,Okulamaga lwe lugendo olukolebwa ku lw'ensonga z'eddiini.
7870,Lwaki omusaalabba gulina okukozesebwa ng'akabonero k'okulokoka?
7871,Omusaalabba omutukuvu gufaanana gutya?
7872,Abakatoliki kitundu ku nzikiriza y'abakulisitu.
7873,Ebizimbe ebimu ng'entindo bibeerawo okumala ebbanga ddene.
7874,Kontulakita bulijjo esobola okubeera kampuni oba omuntu.
7875,Abanoonyi b'obubuddamu balina okufuna empeereza z'ebitundu.
7876,Nsonga ki eziyinza okuba nga zirobera abanoonyi b'obubuddamu okufuna empeereza.
7877,Entindo ziyamba mu kusala emigga egibooze.
7878,Ba yinginiya bakwasaganya okuzimba entindo.
7879,Okuzimba entindo kulina okumalirizibwa mu budde.
7880,Abalimi batereka ebirime byabwe mu masitoowa.
7881,Okusoomoozebwa okumu singa kuba tekukoleddwako mangu kusobola okulwawo.
7882,Abakwatibwako ensonga be baani?
7883,Okulondoola kwetaagisa okusobola okumaliriza ebintu.
7884,Okugyako abantu ensimbi mu lukujjukujju musango.
7885,Ennyingiza esobola okweyongera okuva mu kulima ebibira.
7886,Okubeera n'obukwatane kitegeeza okubeera n'akakwate ku muntu oba ekintu.
7887,Biki ebiyinza okuba ebimu ku biwandiiko ebituta.
7888,Lisiiti bwe bujulizi obulaga nti okusasula kukoleddwa.
7889,Omuntu yeetaaga olukusa okutambuza ebintu ebimu.
7890,Okwatagana otya ne disitulikiti yo gy'ozaalwa?
7891,Mu butongole omuntu asasudde alina okuweebwa lisiiti.
7892,Beera mwegendereze ababbi batambula n'ebissi eb'obulabe.
7893,Amasimu gakozesebwa ng'engeri y'okuwuliziganya.
7894,Omusolo gukungaanyizibwa gutya mu Uganda?
7895,Ebifo by'ebyobuwangwa birina okuzzibwa obuggya.
7896,Amanda gakolebwa kuva mu miti.
7897,Sosolo miidiya esobola okukozesebwa nga oluwenda olw'okulwanyisa ebikolwa by'obumenyi bw'amateeka.
7898,Lwaki abakulembeze beenyigira mu bikolwa ebimenya amateeka?
7899,Ennenganga ez'enjawulo ez'obukulembeze ze ziriwa?
7900,Waliwo ebikolwa by'obumenyi bwa'amateeka bingi nnyo ebigenda mu maaso mu bitundu ebitwetoolodde.
7901,Omuntu ayawula atya obulimba ku mazima?
7902,Si kituufu omuntu okubagalira ebissi eby'obulabe.
7903,Abakuumi balina obuyinza okutta.
7904,Omulembe gw'amateeka kye ki?
7905,Ebikolwa by'obuwangwa birina okukolebwa nga n'amateeka gafiibwako.
7906,Buli muserikale alina emirimu gye gy'alina okukola.
7907,okugulirira kikolwa ekivumirirwa mu ggwanga.
7908,Kisoboka omuntu okusasuzibwa omusolo emirundi ebiri?
7909,Eby'okwerinda byesigamibwako obukuumi.
7910,Ebintu ebiri mu lunyiriri bisuubirwa obutasisinkana.
7911,Okusalawo okw'enkomeredde kwe kusalawo okukola ekintu oba obutakikola.
7912,Abakozi b'ebibi balina okuvumirirwa.
7913,Abakuumi basobola okufuna ssente nga bakozesa amaanyi?
7914,Abookya amanda mu bumenyi bw'amateeka balina okukangavvulwa mu mateeka.
7915,Okukkanya kwa mugaso ki?
7916,Ssente zeetaagisa mu kusimba emiti.
7917,Ebikolwa ebimu biggya omuntu mu kkubo lya Katonda.
7918,Baffaaza balondebwa mu buweereza.
7919,Abakatoliki balina enzikiriza zaabwe ng'eddiini.
7920,Abantu bonna basobola okukemebwa.
7921,Baffaaza baweereza ba Katonda.
7922,Omuntu alina okutikkirwa okusobola okufuuka omufaaza aweereza.
7923,Ekigo ly'ettendekero ly'abafaaza.
7924,Mu ngendo z'obulamu bwaffe ez'enjawulo tulina abantu abatulungamya.
7925,Beera n'endowooza ennungi eri okusoma.
7926,Abayizi baaweebwa ebifo mu matendekero ne mu masomero buli mwaka.
7927,Abazadde baweebwa amagezi okusomesa omwana omuwala.
7928,Okusoomoozebwa kusinga kugonjoolwa mu muli wamu.
7929,Okuteekateeka kukolebwa ku mitendera egy'enjawulo.
7930,Abakwatibwako be bantu abalina obwagazi mu kintu ekimu oba bizinensi.
7931,Amazzi gakozesebwa emirimu egy'enjawulo.
7932,Embalama z'emigga zitera okubooga mu sizoni z'enkuba ennyingi .
7933,Kusoomoozebwa kw'amazzi ki okumu okutafiiriddwako?
7934,Kirungi okusiima abalala we kyetaagisizza.
7935,Amazzi kyetaago ky'abantu mu bulamu obwa bulijjo n'olw'ekyo galina okubeerawo.
7936,Abanoonyiboobubudamu beebudama mu nsi ndala.
7937,Amaka geetaaga amanda okufumba.
7938,Bannabizinensi bafunira mu buzibu.
7939,Beera mwegendereza obutakola bintu bimenya mateeka.
7940,Okuwa abali mu bwetaavu mu kitundu guba mukisa.
7941,Emirimu egimenya amateeka mingi mu bizinensi y'amanda.
7942,Omuntu alina layisinsi y'oyo akkiriziddwa okukola mu mateeka.
7943,Abakulembeze tebalina kwenyigira mu mirimu egimenya amateeka.
7944,Biki ebimu ebiva mu bibira?
7945,Okusala embaawo mu bumenyi bw'amateeka kye ki?
7946,Abamenyi b'amateeka balina okuvunaanibwa mu mbuga z'amateeka.
7947,Muntu wa kika ki abalibwa nga ali mu bwetaavu mu kitundu.?
7948,Kuuma obutonde bw'ensi.
7949,Abanoonyiboobubudamu baasenze mu Uganda.
7950,Abanoonyiboobubudamu abasinga basangibwa mu nkambi z'abanoonyiboobubudamu.
7951,Abantu basenga mu bitundu eby'enjawulo.
7952,Okubeerawo kw'amasannyalaze kujja kuba kwa mugaso munene.
7953,Enkulaakulana eyinza kutumbulwa etya?
7954,Emiti gy'amasannyalaze gisimbibwa mu ttaka okusobola okunywera.
7955,Okunoonyereza kukolebwa olw'ensonga ez'enjawulo.
7956,Okwemulugunya kwe kusaba ab'obuyinza ku nsonga yonna.
7957,Okupima ettaka kuzingiramu okulaba ensalosalo zonna ez'ettaka ly'oyagala okupima.
7958,Amasannyalaze gajja kuba ga mugaso mu kitundu.
7959,Abantu basomeseddwa ku nkozesa y'amasanyalaze n'ebirala.
7960,Omuntu alina okubaako omutemwa gw'asasula okusobola okukozesa amasanyalaze.
7961,Okubeerawo kw'amasanyalaze kusobola kutya okutumbula embeera y'eby'enfuna?
7962,Pooliyo ne mulangira ndwadde ezigemeka.
7963,Endwadde zi nnamutta ezigemeka ze ziriwa?
7964,Ani akulembera mu bulamu bwo?
7965,Ffenna twegomba okubeera mu bulamu obulungi.
7966,Okubeera kw'omuntu obulungi kugatta ku nkulaaakulana ye ng'omuntu.
7967,Kakuyege akozesebwa okutuusa obubaka mu bantu.
7968,Kakuyege wa nsonga ennambulukufu.
7969,Ssaagala kwetaba mu kugemebwa kwa kikungo.
7970,Mulangira y'emu ku ndwadde zi nnamutta.
7971,Waliwo ensonga ez'enjawulo eziyinza okulemesa enkulaakulana.
7972,Osobola okubala enyingiza ya buli muntu mu mwaka?
7973,Enkiiko zitegekebwa abantu basobole okugabana ebirowoozo.
7974,Omukozi azziddwamu amaanyi ebiseera ebisinga akola bulungi nga musanyufu ku mulimu.
7975,Omulabe y'ani?
7976,Musiime abakulembeze bamwe olw'emirimu gye bakola.
7977,Twavaayo n'amagezi mangi mu kuwaanyisiganya ebirowoozo.
7978,"Nga tonnayita lukiiko, abantu balina okutegeezebwako wiiki bbiri nga terunnabaawo."
7979,Tukola enkiiko okusobola okusala amagezi.
7980,Kirinamu obuzibu omuntu okulambula mu kitundu ewasenze abanoonyi b'obubuddamu.
7981,Weewale emitawana bambi tokola kintu kyonna kirumya balala.
7982,Enkiiko zikungaanya abantu.
7983,Tugezeeko okubeera abenkanya.
7984,"Mu kifo ky'okwemulugunya, tugolole ensobi."
7985,Olukiiko oluteeketeeke obulungi lulina okuba n'ensonga.
7986,Mpeereza kika ki gy'ogaba?
7987,Ensimbi weeziri okuyamba abanoonyi b'obubuddamu.
7988,Ebizibu ebimu bya kaseera buseera.
7989,Okukola amateeka mutendera ogutwala ebbanga.
7990,Disitulikiti ki ezimu ku ezo ezibeeramu abanoonyi b'obubuddamu.
7991,Ssente bwezikozesebwa obulungi zisobola okuba ez'omugaso ennyo.
7992,Obongi y'emu ku disitulikiti eziri mu bukiikakkono bwa Uganda.
7993,Okukuuma obukakkamu kya mugaso nnyo.
7994,Abakulembeze balina okugatta abantu si kubaawukanya.
7995,Abakulembeze balina okuwangana ebitiibwa.
7996,Enguudo za kkoolansi zanguya entambula.
7997,Enkulaakulana ezimu zirina okusiimibwa mu lujjudde.
7998,Nsonga kika ki eziyinza okulemesa puloojekiti y'oluguudo?
7999,Ekitongole ki Uganda national Road authority kye kikwasaganya eby'okuzimba enguudo.
8000,Omuntu alina okubeera n'ebiwandiiko ebimwogerako.
8001,Abatuuze bakosebwa ensonga nnyingi nnyo.
8002,Ssente zisobola okumalawo ebisomooza by'amaka byonna?
8003,Abatuuze bawaayo ettaka lyabwe ku lw'okuzimba enguudo.
8004,Obwerufu kye kisumuluzo ky'enkulaakulana.
8005,Emirimu gy'okuzimba enguudo gikosa abatuuze bangi.
8006,"Gavumenti bw'ekolagana n'abantu, ejja kusobola okukulaakulanya eby'enfuna."
8007,"Bwe baba tebagaanye kirowoozo kyo, kitegeeza bakikkirizza."
8008,Kiki ekiyinza okuviirako okusika omuguwa gye bujja?
8009,Enguudo ezimu ezizimbibwa zivujjirirwa nsi z'ebweru.
8010,Abantu balina okulimalunda ng'ekimu ku by'enyingiza.
8011,Abakatoliki babeera n'okusaba kwabwe ku Sande.
8012,Abasawo beetaaga okwambala obukookolo okusobola okukola obulungi.
8013,Lwaki abawala abamu abasoma basalawo okuggyamu embuto mu kifo ky'okuzikuza?
8014,Buli muyizi alindirira olunaku amasomero lwe galiddamu okuggulawo.
8015,Amatendekero gaakufuulibwamu ebifo ebijjanjabirwamu.
8016,Gavumenti ekkirizza amatendekero okuggulawo eri abayizi abali mu mwaka gwabwe ogw'akamalirizo.
8017,Bulijjo kikulu ekitongole ky'ebyenjigiriza okulondoola ensonga zonna ezikwata ku masomero.
8018,Gavumenti egaanye okubaako kyeyogera ku ddi amatendekero lwe ganaggulawo.
8019,Olowooza omwaka gw'ebyensoma guno gulina okusazibwamu?
8020,Ekitongole ky'ebyenjigiriza kyategeeza amasomero ku nkyukakyuka mu budde ebibuuzo kwe binaakolebwamu.
8021,Omukulu w'essomero akwatiddwa olw'okukuba abawala abatanneetuuka.
8022,Amasomero ga gavumenti amapya mangi agazimbiddwa omwaka guno.
8023,Amasomero tegalina kwongeza bisale.
8024,Gavumenti egamba nti tewali ssente za kuyamba bantu kusomera ku mutimbagano.
8025,Ekitongole ky'ebigezo kinaatera okusalawo ddi abayizi lwe banaatuula ebibuuzo byabwe.
8026,Abayizi abali mu mwaka ogw'akamalirizo basuubirwa okudda ku masomero mu bwangu.
8027,Okuggulawo zi ssettendekero kireeseewo okubuzaabuzibwa mu bayizi.
8028,Amasomero galina okubeera n'ensimbi eziddukanya emirimu gyago.
8029,Uganda ewagira bannassaayansi abakyala.
8030,Ssettendekero ya Makerere ekola bulungi ku ssemazinga wa Africa.
8031,Abayimbi bagaaniddwa olukusa lw'okuyimirizaawo ekivvulu mu Kampala.
8032,Ekivvulu ky'ensi yonna eky'amazina kijja kulagibwa butereevu ku misikira wala mu gw'omwenda.
8033,Kiruubirirwa kyange okubeera omuzannyi wa ffirimu asinga.
8034,Tufiiriddwa bannabitone bangi emyaka egyetoolodde.
8035,Ekivvulu kya bakazanyiikirizi kyabadde kitya?
8036,Ppulogulaamu za TV eziraga embeera abantu gye bayitamu ziggwa mu ngeri gyotasuubira.
8037,Emikolo kitundu ku bulamu.
8038,Miganyulo ki egiri mu kuwandiisa oluyimba luvuganye?
8039,Emikolo gy'embaga si gya bagagga bokka.
8040,Katemba anyuma nnyo.
8041,Amalwaliro nago geetaaga obuyambi.
8042,Abasawo batera okukola butaweera okutaasa obulamu.
